"According to the text, what is the primary difference between disorganized and organized thought?","Organized thought is the world's greatest power, while disorganized thought is useless."
The text describes the brain as a subtle mechanism that functions like a ____.,Dynamo (or motion-generating electrical machine).
What was the original English title of the work adapted as 'Ekagrata aur Divya-Shakti'?,"""Concentration and the Acquirement of Personal Magnetism."""
Concept: Ojas (or Ojas Shakti),Definition: A force of personal magnetism and attraction that can be used for both spiritual and material success.
"According to the text, what is the function of the Cerebrum (Big Brain)?","It is the seat of experience, will, intelligence, and impulses."
What is the primary role of the Cerebellum (Little Brain) in the mental mechanism?,It regulates involuntary muscles and ensures the safety and coordination of the mind and body.
The 'Adhipati' (Medulla Oblongata) is considered critical because its destruction results in ____.,Instant death.
How many pairs of cranial nerves emerge from the lower surface of the brain?,12 pairs.
What is the function of the first pair of cranial nerves?,They provide the sense of smell.
Which pair of cranial nerves is responsible for moving the pupils of the eyes?,The third pair.
The tenth pair of cranial nerves is significant because it connects to the ____.,"Lungs, heart, stomach, and gallbladder."
What is the invisible medium that allows thought and light to travel across space?,Ether (Akash).
"The text states that the nature of thought is ____, similar to light or physical matter.",Atomic.
How does Ether (Akash) function as a medium for distant communication?,It carries light and thought waves from distant stars and people to our perception.
Concept: Radiant Energy (Deet-bal),Definition: The force exerted by a body when it collides with another or influences its surrounding medium.
"According to the law of mental vibration, what happens to a thought sent out into the world?",It travels in a circular path and eventually returns to its sender.
Why does the author advise against anger and unrest in the context of mental health?,Negative thoughts return to the sender and damage their physical and mental structure.
What is the purpose of using a glass of water during concentration practice?,"To help the eye focus and send a clear image to the brain, which acts like a sensitive photographic plate."
"When beginning concentration exercises, what should a student focus on first?",A favorite or pleasing worldly object for one minute.
"If a student cannot focus for two minutes, what does the text suggest they avoid?",Attempting to meditate for thirty minutes.
Term: Personal Magnetism,Definition: An attractive force generated by mental concentration that influences people and environments.
"In the context of mental healing, what must be the state of the two participating brains?",One must be positive (transmitter) and the other must be negative (receiver).
"According to the text, the 'Will' is a portion of the ____.",Universal Soul (Vishwatma).
How does the 'Return of Thought' affect a person's life success?,Thoughts of success sent out with high velocity return as successful results.
What is the 'Solar Plexus' (Manipur Chakra) used for in Pranayama exercises?,It is the exit point for rhythmic breath that carries mental vibrations through the body.
"During the practice of Pranayama, what specific word should be contemplated with the breath?",The word 'Love' or 'Power'.
How long does the text suggest repeating affirmations like 'I am Power' or 'I am Divine'?,Five to ten minutes.
The 'Mastishk-setu' (Pons Varolii) is described as the ____ of the brain.,Bridge.
What happens to thought rays in an unfocused mind?,They scatter in all directions and lose their strength before reaching a goal.
"According to the magnetic law described, like mental 'poles' ____ each other.",Repel.
"According to the magnetic law described, unlike mental 'poles' ____ each other.",Attract.
The retina of the eye is compared to a ____ in its ability to capture mental images.,Sensitive plate (photographic plate).
What is the main goal of the 'Nav-Vichar' (New Thought) science mentioned in the introduction?,"To use mental concentration to improve health, success, and spiritual growth."
"According to the author, why is this 'New' thought not actually new to India?",Ancient Indian Munis (sages) were the original discoverers and masters of this science.
Why is it important to synchronize breathing with mental affirmations?,Proper breathing supports the concentration of thought and the manifestation of desired qualities.
What does the text say about the impact of 'Will-power' on the brain's physical structure?,It acts as a mold that shapes the mental mechanism according to the nature of the will.
The term 'Ojas' can be used for the attainment of both God-realization and ____.,Wealth-attainment (Dhan-prapti).
"In the diagram of breathing exercises, what does the 'ka' point represent?",The physical heart (or the center of the soul in the body).
What is the recommended attitude when results of concentration do not appear immediately?,"Persistence, as building the mental mechanism takes time and consistent practice."
Why is focused thought compared to a magnet in the text?,It draws the desired qualities or objects from the environment toward the thinker.
What happens when a person focuses on the word 'Love' while inhaling?,"The brain mechanism aligns with the vibration of love, influencing the body's cells."
The text suggests that one can heal a diseased body part by sending it ____.,A strong mental message (vibration) through concentrated thought.
How does the 'Universal Soul' influence the outcome of human desires according to the text?,It provides the power that moves the brain to manifest those desires into reality.
What is the role of the 'Etheric waves' in telepathy?,They serve as the pathway for thought rays to travel from the transmitter's brain to the receiver's brain.
"According to the text, why do many people fail to learn Yoga today despite having access to Patanjali's Sutras?","They lack the basic, simplified primary instructions required for beginners."
What is the 'Subtle Body' (Sukshma-sharir) in the context of memory?,The inner self that stores all knowledge and memories of previous incarnations.
Term: Personal Magnetism Induction,Definition: The process of infecting a 'negative' or passive mind with the 'positive' magnetism of a focused mind without physical contact.
What physical sensation does the text associate with the successful generation of mental heat?,A sense of 'warmth' or 'vibrancy' in the mental atmosphere.
"According to the text, a student should practice concentration like an engineer operates a ____.",Machine (the mental machine).
"In the breathing exercise, what is the 'kha' circle representing?",The boundary of the brain's mental influence or the magnetic field.
What determines the strength and speed of a thought wave in Ether?,The intensity and focus of the individual's Will-power.
What is the ultimate benefit of mastering concentration according to the concluding pages?,The ability to mold one's own future and attain peace and prosperity.
